Rank,Players,Nation,Confederation,Caps,Debut,Latest
580,Daniel da Mota,Luxembourg,UEFA,101.0,2 June 2007,6 June 2021
580,Salem Al-Dawsari,Saudi Arabia,AFC,101.0,29 February 2012,14 October 2025
580,Ulises de la Cruz,Ecuador,CONMEBOL,101.0,28 May 1995,16 May 2010
580,Vincent Enyeama,Nigeria,CAF,101.0,4 May 2002,13 June 2015
580,Fahad Al-Hajeri,Kuwait,AFC,101.0,16 October 2012,9 October 2025
580,Thomas Häßler,West Germany  Germany,UEFA,101.0,31 August 1988,20 June 2000
580,Lukas Hradecky,Finland,UEFA,101.0,21 May 2010,10 June 2025
580,Mahboub Juma'a,Kuwait,AFC,101.0,28 March 1976,9 March 1990
580,Jaba Kankava,Georgia,UEFA,101.0,4 September 2004,21 March 2024
580,Seydou Keita[ch],Mali,CAF,101.0,4 October 1998,28 January 2015
580,Kasey Keller[be],United States,CONCACAF,101.0,4 February 1990,2 July 2007
580,Levan Kobiashvili,Georgia,UEFA,101.0,1 September 1996,11 October 2011
580,Alyaksandr Kulchy[ci],Belarus,UEFA,101.0,14 February 1996,11 September 2012
580,Marquinhos,Brazil,CONMEBOL,101.0,16 November 2013,9 September 2025
580,Saulius Mikoliūnas,Lithuania,UEFA,101.0,5 June 2004,16 November 2022
580,Park Sung-hwa[ab],South Korea,AFC,101.0,29 July 1975,10 December 1984
580,Ronald Raldes[bo],Bolivia,CONMEBOL,101.0,3 June 2001,9 June 2018
580,Cristian Riveros,Paraguay,CONMEBOL,101.0,4 May 2005,27 March 2018
580,Mathew Ryan,Australia,AFC,101.0,5 December 2012,14 October 2025
580,Hassouneh Al-Sheikh,Jordan,AFC,101.0,19 April 1997,28 September 2010
580,Thomas Sørensen,Denmark,UEFA,101.0,17 November 1999,26 May 2012
580,Cláudio Taffarel,Brazil,CONMEBOL,101.0,7 July 1988,12 July 1998
580,Andranik Teymourian,Iran,AFC,101.0,24 August 2005,11 October 2016
580,Vasilis Torosidis,Greece,UEFA,101.0,24 March 2007,5 September 2019
580,Gabriel Torres[cj],Panama,CONCACAF,101.0,8 October 2005,12 June 2022
580,Yaya Touré,Ivory Coast,CAF,101.0,28 April 2004,29 March 2015
580,Joseph Yobo,Nigeria,CAF,101.0,24 March 2001,30 June 2014
620,Hosny Abd Rabo[ck],Egypt,CAF,100.0,31 March 2004,10 September 2014
620,Mohamed Aboutrika,Egypt,CAF,100.0,19 March 2001,19 November 2013
620,Roberto Acuña,Paraguay,CONMEBOL,100.0,3 March 1993,11 June 2011
620,Angelos Basinas,Greece,UEFA,100.0,18 August 1999,1 April 2009
620,Henning Berg,Norway,UEFA,100.0,13 May 1992,27 May 2004
620,Roderick Briffa,Malta,UEFA,100.0,11 December 2003,17 November 2018
620,Denis Caniza,Paraguay,CONMEBOL,100.0,10 November 1996,7 September 2010
620,Luis Capurro,Ecuador,CONMEBOL,100.0,6 February 1985,9 February 2003
620,Christian Cueva,Peru,CONMEBOL,100.0,1 June 2011,29 June 2024
620,Ben Davies,Wales,UEFA,100.0,12 October 2012,13 October 2025
620,Aleksandar Dragović,Austria,UEFA,100.0,6 June 2009,29 March 2022
620,Damien Duff,Republic of Ireland,UEFA,100.0,15 March 1998,18 June 2012
620,Alexandru Epureanu,Moldova,UEFA,100.0,6 September 2006,31 March 2021
620,Jóhann Berg Guðmundsson,Iceland,UEFA,100.0,20 August 2008,13 November 2025
620,Bojan Jokić,Slovenia,UEFA,100.0,28 February 2006,16 November 2019
620,Ulf Kirsten,East Germany  Germany,UEFA,100.0,8 May 1985,20 June 2000
620,Rúnar Kristinsson[cl],Iceland,UEFA,100.0,28 October 1987,18 August 2004
620,Grzegorz Krychowiak,Poland,UEFA,100.0,14 December 2008,10 September 2023
620,Lars Krogh Gerson,Luxembourg,UEFA,100.0,26 March 2008,10 June 2025
620,Tony Meola,United States,CONCACAF,100.0,10 June 1988,11 April 2006
620,Joe-Max Moore,United States,CONCACAF,100.0,3 September 1992,14 June 2002
620,Peter Mponda[cm],Malawi,CAF,100.0,3 January 1998,8 October 2011
620,Nazri Nasir,Singapore,AFC,100.0,13 September 1990,12 July 2004
620,Park Ji-sung,South Korea,AFC,100.0,5 April 2000,25 January 2011
620,Carlos Pavón[m],Honduras,CONCACAF,100.0,17 July 1993,16 June 2010
620,Carles Puyol,Spain,UEFA,100.0,15 November 2000,6 February 2013
620,Robinho,Brazil,CONMEBOL,100.0,13 July 2003,26 January 2017
620,Ruslan Rotan,Ukraine,UEFA,100.0,12 February 2003,27 March 2018
620,Goce Sedloski,North Macedonia,UEFA,100.0,27 March 1996,29 May 2010
620,Dario Šimić,Croatia,UEFA,100.0,13 March 1996,20 August 2008
620,Santokh Singh[cn],Malaysia,AFC,100.0,19 May 1973,8 April 1984
620,Jorge Soto[co],Peru,CONMEBOL,100.0,25 November 1992,12 October 2005
620,Igors Stepanovs,Latvia,UEFA,100.0,26 April 1995,10 August 2011
620,Earnie Stewart[be],United States,CONCACAF,100.0,19 December 1990,18 August 2004
620,Taijo Teniste,Estonia,UEFA,100.0,9 November 2007,9 September 2025
620,Siaka Tiéné,Ivory Coast,CAF,100.0,9 April 2000,14 June 2015
620,Arda Turan,Turkey,UEFA,100.0,16 August 2006,6 October 2017
620,100,,,,,
620,100,,,,,
